,drug_name,drug_id,target_name,target_id,disease_name,disease_id,knowledge_source_r1,knowledge_source_r2
33,tranexamic acid,CHEBI:48669,PLG,NCBIGene:5340,Menorrhagia,HP:0000132,infores:drugmechdb,infores:drugcentral
34,meclofenamic acid,CHEBI:6710,PTGS1,NCBIGene:5742,Menorrhagia,HP:0000132,infores:drugmechdb,infores:drugcentral
35,meclofenamic acid,CHEBI:6710,PTGS2,NCBIGene:5743,Menorrhagia,HP:0000132,infores:drugmechdb,infores:drugcentral
36,norethisterone,CHEBI:7627,PGR,NCBIGene:5241,Menorrhagia,HP:0000132,infores:drugmechdb,infores:drugcentral
37,levonorgestrel,CHEBI:6443,PGR,NCBIGene:5241,Menorrhagia,HP:0000132,infores:drugmechdb,infores:drugcentral
38,pilocarpine,CHEBI:8207,CHRM3,NCBIGene:1131,Xerostomia,HP:0000217,infores:hpo-annotations,infores:drugcentral
39,cevimeline,CHEBI:3568,CHRM3,NCBIGene:1131,Xerostomia,HP:0000217,infores:hpo-annotations,everycure_indication_list
40,ofloxacin,CHEBI:194135,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
41,cephalexin,CHEBI:3534,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,everycure_indication_list
42,ampicillin,CHEBI:28971,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,everycure_indication_list
43,tetracycline,CHEBI:27902,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,everycure_indication_list
44,ceftriaxone,CHEBI:29007,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
45,cefonicid,CHEBI:3491,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
46,cloxacillin,CHEBI:49566,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
47,vancomycin,CHEBI:28001,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
48,cefotaxime,CHEBI:94427,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
49,cefalotin,CHEBI:124991,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
50,cefmetazole,CHEBI:3489,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
51,cefazolin,CHEBI:474053,ALB,NCBIGene:213,Recurrent lower respiratory tract infections,HP:0002783,infores:hpo-annotations,infores:drugcentral
52,naloxone,CHEBI:7459,OPRM1,NCBIGene:4988,Hypoventilation,HP:0002791,infores:disgenet,everycure_indication_list
53,caffeine,CHEBI:27732,PDE4B,NCBIGene:5142,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
54,paracetamol,CHEBI:46195,PTGS1,NCBIGene:5742,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
55,paracetamol,CHEBI:46195,PTGS2,NCBIGene:5743,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
56,naproxen,CHEBI:7476,PTGS1,NCBIGene:5742,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
57,naproxen,CHEBI:7476,PTGS2,NCBIGene:5743,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
58,aspirin,CHEBI:15365,PTGS2,NCBIGene:5743,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
59,aspirin,CHEBI:15365,PTGS1,NCBIGene:5742,Arthralgia,HP:0002829,infores:drugmechdb,infores:drugcentral
60,prednisone,CHEBI:8382,CYP3A4,NCBIGene:1576,Hypocalcemia,HP:0002901,infores:hpo-annotations,everycure_indication_list
61,dihydrotachysterol,CHEBI:4591,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
62,dihydrotachysterol,CHEBI:4591,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:drugmechdb,infores:drugcentral
63,ergocalciferol,CHEBI:28934,CYP2R1,NCBIGene:120227,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
64,ergocalciferol,CHEBI:28934,CYP3A4,NCBIGene:1576,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
65,ergocalciferol,CHEBI:28934,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
66,ergocalciferol,CHEBI:28934,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:drugmechdb,infores:drugcentral
67,ergocalciferol,CHEBI:28934,CYP27B1,NCBIGene:1594,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
68,"1,25-dihydroxyvitamin D3",CHEBI:17823,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
69,"1,25-dihydroxyvitamin D3",CHEBI:17823,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:drugmechdb,infores:drugcentral
70,"1,25-dihydroxyvitamin D3",CHEBI:17823,CYP3A4,NCBIGene:1576,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
71,calcifediol,CHEBI:17933,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
72,calcifediol,CHEBI:17933,VDR,NCBIGene:7421,Hypocalcemia,HP:0002901,infores:drugmechdb,infores:drugcentral
73,calcifediol,CHEBI:17933,CYP27B1,NCBIGene:1594,Hypocalcemia,HP:0002901,infores:hpo-annotations,infores:drugcentral
74,conivaptan,CHEBI:681850,AVPR2,NCBIGene:554,Hyponatremia,HP:0002902,infores:hpo-annotations,infores:drugcentral
75,conivaptan,CHEBI:681850,AVPR2,NCBIGene:554,Hyponatremia,HP:0002902,infores:drugmechdb,infores:drugcentral
76,conivaptan,CHEBI:681850,AVPR1A,NCBIGene:552,Hyponatremia,HP:0002902,infores:drugmechdb,infores:drugcentral
77,tolvaptan,CHEBI:231425,AVPR2,NCBIGene:554,Hyponatremia,HP:0002902,infores:hpo-annotations,infores:drugcentral
78,tolvaptan,CHEBI:231425,AVPR2,NCBIGene:554,Hyponatremia,HP:0002902,infores:drugmechdb,infores:drugcentral
79,tolvaptan,CHEBI:231425,AVPR1A,NCBIGene:552,Hyponatremia,HP:0002902,infores:drugmechdb,infores:drugcentral
80,magnesium sulfate,PUBCHEM.COMPOUND:24083,CACNA1S,NCBIGene:779,Hypomagnesemia,HP:0002917,infores:hpo-annotations,infores:drugcentral
81,prednisone,CHEBI:8382,ALB,NCBIGene:213,Hypoproteinemia,HP:0003075,infores:hpo-annotations,everycure_indication_list
82,pemafibrate,CHEBI:228365,PPARA,NCBIGene:5465,Abnormal circulating lipid concentration,HP:0003119,infores:ctd,infores:drugcentral
83,pemafibrate,CHEBI:228365,PPARA,NCBIGene:5465,Abnormal circulating lipid concentration,HP:0003119,infores:disgenet,infores:drugcentral
84,fenofibrate,CHEBI:5001,PPARA,NCBIGene:5465,Abnormal circulating lipid concentration,HP:0003119,infores:ctd,everycure_indication_list
85,fenofibrate,CHEBI:5001,PPARA,NCBIGene:5465,Abnormal circulating lipid concentration,HP:0003119,infores:disgenet,everycure_indication_list
86,pravastatin,CHEBI:63618,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
87,pravastatin,CHEBI:63618,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
88,pravastatin,CHEBI:63618,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
89,bezafibrate,CHEBI:47612,PPARD,NCBIGene:5467,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
90,bezafibrate,CHEBI:47612,PPARA,NCBIGene:5465,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
91,bezafibrate,CHEBI:47612,PPARG,NCBIGene:5468,Hypercholesterolemia,HP:0003124,infores:hpo-annotations,infores:drugcentral
92,bezafibrate,CHEBI:47612,PPARG,NCBIGene:5468,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
93,bezafibrate,CHEBI:47612,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
94,bezafibrate,CHEBI:47612,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
95,bezafibrate,CHEBI:47612,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
96,lovastatin,CHEBI:40303,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
97,lovastatin,CHEBI:40303,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
98,lovastatin,CHEBI:40303,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
99,fenofibrate,CHEBI:5001,PPARA,NCBIGene:5465,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
100,probucol,CHEBI:8427,ABCA1,NCBIGene:19,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
101,probucol,CHEBI:8427,ABCA1,NCBIGene:19,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
102,probucol,CHEBI:8427,ABCA1,NCBIGene:19,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
103,probucol,CHEBI:8427,CES1,NCBIGene:1066,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
104,probucol,CHEBI:8427,CES1,NCBIGene:1066,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
105,fluvastatin,CHEBI:38561,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
106,fluvastatin,CHEBI:38561,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
107,fluvastatin,CHEBI:38561,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
108,rosuvastatin,CHEBI:38545,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
109,rosuvastatin,CHEBI:38545,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
110,rosuvastatin,CHEBI:38545,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
111,rosuvastatin,CHEBI:38545,ALB,NCBIGene:213,Hypercholesterolemia,HP:0003124,infores:hpo-annotations,infores:drugcentral
112,ezetimibe,CHEBI:49040,NPC1L1,NCBIGene:29881,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
113,ezetimibe,CHEBI:49040,ABCG8,NCBIGene:64241,Hypercholesterolemia,HP:0003124,infores:hpo-annotations,infores:drugcentral
114,ezetimibe,CHEBI:49040,ABCG5,NCBIGene:64240,Hypercholesterolemia,HP:0003124,infores:hpo-annotations,infores:drugcentral
115,nicotinic acid,CHEBI:15940,HCAR2,NCBIGene:338442,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
116,nicotinic acid,CHEBI:15940,HCAR3,NCBIGene:8843,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
117,simvastatin,CHEBI:9150,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:ctd,infores:drugcentral
118,simvastatin,CHEBI:9150,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:disgenet,infores:drugcentral
119,simvastatin,CHEBI:9150,HMGCR,NCBIGene:3156,Hypercholesterolemia,HP:0003124,infores:drugmechdb,infores:drugcentral
120,L-carnitine,CHEBI:16347,SLC25A20,NCBIGene:788,Decreased circulating carnitine concentration,HP:0003234,infores:hpo-annotations,infores:drugcentral
121,L-carnitine,CHEBI:16347,SLC22A5,NCBIGene:6584,Decreased circulating carnitine concentration,HP:0003234,infores:hpo-annotations,infores:drugcentral
122,naproxen,CHEBI:7476,PTGS1,NCBIGene:5742,Myalgia,HP:0003326,infores:drugmechdb,infores:drugcentral
123,naproxen,CHEBI:7476,PTGS2,NCBIGene:5743,Myalgia,HP:0003326,infores:drugmechdb,infores:drugcentral
124,lidocaine,CHEBI:6456,SCN9A,NCBIGene:6335,Myalgia,HP:0003326,infores:hpo-annotations,everycure_indication_list
125,lidocaine,CHEBI:6456,SCN4A,NCBIGene:6329,Myalgia,HP:0003326,infores:hpo-annotations,everycure_indication_list
126,ketoprofen,CHEBI:6128,PTGS2,NCBIGene:5743,Myalgia,HP:0003326,infores:drugmechdb,everycure_indication_list
127,ketoprofen,CHEBI:6128,PTGS1,NCBIGene:5742,Myalgia,HP:0003326,infores:drugmechdb,everycure_indication_list
128,paracetamol,CHEBI:46195,PTGS1,NCBIGene:5742,Myalgia,HP:0003326,infores:drugmechdb,everycure_indication_list
129,paracetamol,CHEBI:46195,PTGS2,NCBIGene:5743,Myalgia,HP:0003326,infores:drugmechdb,everycure_indication_list
130,cyclobenzaprine,CHEBI:3996,ADRA2C,NCBIGene:152,Muscle spasm,HP:0003394,infores:drugmechdb,everycure_indication_list
131,naproxen,CHEBI:7476,PTGS1,NCBIGene:5742,Back pain,HP:0003418,infores:drugmechdb,everycure_indication_list
132,naproxen,CHEBI:7476,PTGS2,NCBIGene:5743,Back pain,HP:0003418,infores:drugmechdb,everycure_indication_list
133,etoposide,CHEBI:4911,PTGS2,NCBIGene:5743,Back pain,HP:0003418,infores:drugmechdb,everycure_indication_list
134,etoposide,CHEBI:4911,PTGS1,NCBIGene:5742,Back pain,HP:0003418,infores:drugmechdb,everycure_indication_list
135,(-)-menthol,CHEBI:15409,TRPM8,NCBIGene:79054,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
136,(-)-menthol,CHEBI:15409,TRPA1,NCBIGene:8989,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
137,(-)-menthol,CHEBI:15409,TRPV3,NCBIGene:162514,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
138,paracetamol,CHEBI:46195,TRPV1,NCBIGene:7442,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
139,paracetamol,CHEBI:46195,PTGS1,NCBIGene:5742,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
140,paracetamol,CHEBI:46195,PTGS2,NCBIGene:5743,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
141,caffeine,CHEBI:27732,ADORA2A,NCBIGene:135,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
142,caffeine,CHEBI:27732,PIK3CA,NCBIGene:5290,Back pain,HP:0003418,infores:hpo-annotations,infores:drugcentral
143,caffeine,CHEBI:27732,ADORA2B,NCBIGene:136,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
144,caffeine,CHEBI:27732,PDE4B,NCBIGene:5142,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
145,aceclofenac,CHEBI:31159,PTGS1,NCBIGene:5742,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
146,aspirin,CHEBI:15365,PTGS2,NCBIGene:5743,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
147,aspirin,CHEBI:15365,PTGS1,NCBIGene:5742,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
148,aspirin,CHEBI:15365,TP53,NCBIGene:7157,Back pain,HP:0003418,infores:hpo-annotations,infores:drugcentral
149,capsaicin,CHEBI:3374,TRPV1,NCBIGene:7442,Back pain,HP:0003418,infores:drugmechdb,infores:drugcentral
150,chlorpromazine,CHEBI:3647,ABCB1,NCBIGene:5243,Atypical behavior,HP:0000708,infores:disgenet,everycure_indication_list
151,chlorpromazine,CHEBI:3647,SMPD1,NCBIGene:6609,Atypical behavior,HP:0000708,infores:hpo-annotations,everycure_indication_list
152,haloperidol,CHEBI:5613,ABCB1,NCBIGene:5243,Atypical behavior,HP:0000708,infores:disgenet,everycure_indication_list
153,haloperidol,CHEBI:5613,GRIN2B,NCBIGene:2904,Atypical behavior,HP:0000708,infores:hpo-annotations,everycure_indication_list
154,haloperidol,CHEBI:5613,SIGMAR1,NCBIGene:10280,Atypical behavior,HP:0000708,infores:hpo-annotations,everycure_indication_list
155,haloperidol,CHEBI:5613,EBP,NCBIGene:10682,Aggressive behavior,HP:0000718,infores:hpo-annotations,everycure_indication_list
156,oxazepam,CHEBI:7823,GABRB3,NCBIGene:2562,Irritability,HP:0000737,infores:hpo-annotations,everycure_indication_list
157,chlorpromazine,CHEBI:3647,DRD5,NCBIGene:1816,Hyperactivity,HP:0000752,infores:hpo-annotations,everycure_indication_list
158,chlorpromazine,CHEBI:3647,BCHE,NCBIGene:590,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
159,chlorpromazine,CHEBI:3647,HTR2A,NCBIGene:3356,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
160,chlorpromazine,CHEBI:3647,DRD2,NCBIGene:1813,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
161,chlorpromazine,CHEBI:3647,DRD3,NCBIGene:1814,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
162,chlorpromazine,CHEBI:3647,DRD4,NCBIGene:1815,Hyperactivity,HP:0000752,infores:hpo-annotations,everycure_indication_list
163,chlorpromazine,CHEBI:3647,DRD1,NCBIGene:1812,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
164,chlorpromazine,CHEBI:3647,HTR2C,NCBIGene:3358,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
165,methamphetamine,CHEBI:6809,DRD2,NCBIGene:1813,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
166,methamphetamine,CHEBI:6809,SLC6A3,NCBIGene:6531,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
167,haloperidol,CHEBI:5613,HTR2A,NCBIGene:3356,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
168,haloperidol,CHEBI:5613,DRD2,NCBIGene:1813,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
169,haloperidol,CHEBI:5613,EBP,NCBIGene:10682,Hyperactivity,HP:0000752,infores:hpo-annotations,everycure_indication_list
170,haloperidol,CHEBI:5613,DRD4,NCBIGene:1815,Hyperactivity,HP:0000752,infores:hpo-annotations,everycure_indication_list
171,haloperidol,CHEBI:5613,DRD1,NCBIGene:1812,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
172,haloperidol,CHEBI:5613,DRD3,NCBIGene:1814,Hyperactivity,HP:0000752,infores:disgenet,everycure_indication_list
173,fluoxymesterone,CHEBI:5120,ESR1,NCBIGene:2099,Delayed puberty,HP:0000823,infores:hpo-annotations,infores:drugcentral
174,fluoxymesterone,CHEBI:5120,AR,NCBIGene:367,Delayed puberty,HP:0000823,infores:hpo-annotations,infores:drugcentral
175,fluoxymesterone,CHEBI:5120,AR,NCBIGene:367,Delayed puberty,HP:0000823,infores:drugmechdb,infores:drugcentral
176,methyltestosterone,CHEBI:27436,AR,NCBIGene:367,Delayed puberty,HP:0000823,infores:hpo-annotations,infores:drugcentral
177,methyltestosterone,CHEBI:27436,AR,NCBIGene:367,Delayed puberty,HP:0000823,infores:drugmechdb,infores:drugcentral
178,metformin,CHEBI:6801,ACACB,NCBIGene:32,Insulin resistance,HP:0000855,infores:disgenet,everycure_indication_list
179,metformin,CHEBI:6801,ACACB,NCBIGene:32,Insulin resistance,HP:0000855,infores:ctd,everycure_indication_list
180,progesterone,CHEBI:17026,NR3C1,NCBIGene:2908,Secondary amenorrhea,HP:0000869,infores:hpo-annotations,infores:drugcentral
181,medroxyprogesterone,CHEBI:6715,NR3C1,NCBIGene:2908,Secondary amenorrhea,HP:0000869,infores:hpo-annotations,infores:drugcentral
182,bumetanide,CHEBI:3213,CA4,NCBIGene:762,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
183,bumetanide,CHEBI:3213,CFTR,NCBIGene:1080,Edema,HP:0000969,infores:hpo-annotations,infores:drugcentral
184,bumetanide,CHEBI:3213,PTGS2,NCBIGene:5743,Edema,HP:0000969,infores:ctd,infores:drugcentral
185,bumetanide,CHEBI:3213,PTGS2,NCBIGene:5743,Edema,HP:0000969,infores:disgenet,infores:drugcentral
186,bumetanide,CHEBI:3213,CA12,NCBIGene:771,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
187,bumetanide,CHEBI:3213,CA14,NCBIGene:23632,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
188,bumetanide,CHEBI:3213,CA7,NCBIGene:766,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
189,bumetanide,CHEBI:3213,SLC12A1,NCBIGene:6557,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
190,prednisone,CHEBI:8382,ALB,NCBIGene:213,Edema,HP:0000969,infores:hpo-annotations,everycure_indication_list
191,torsemide,CHEBI:9637,SLC12A1,NCBIGene:6557,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
192,chlorothiazide,CHEBI:3640,CA4,NCBIGene:762,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
193,chlorothiazide,CHEBI:3640,SLC12A3,NCBIGene:6559,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
194,chlorothiazide,CHEBI:3640,CA2,NCBIGene:760,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
195,chlorothiazide,CHEBI:3640,CA1,NCBIGene:759,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
196,hydroflumethiazide,CHEBI:5784,SLC12A3,NCBIGene:6559,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
197,hydroflumethiazide,CHEBI:5784,CA4,NCBIGene:762,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
198,hydroflumethiazide,CHEBI:5784,SLC12A1,NCBIGene:6557,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
199,hydroflumethiazide,CHEBI:5784,CA1,NCBIGene:759,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
200,hydroflumethiazide,CHEBI:5784,CA2,NCBIGene:760,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
201,hydroflumethiazide,CHEBI:5784,CA12,NCBIGene:771,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
202,hydroflumethiazide,CHEBI:5784,CA14,NCBIGene:23632,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
203,hydroflumethiazide,CHEBI:5784,CA7,NCBIGene:766,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
204,spironolactone,CHEBI:9241,NR3C2,NCBIGene:4306,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
205,acetazolamide,CHEBI:27690,CA14,NCBIGene:23632,Edema,HP:0000969,infores:drugmechdb,infores:drugcentral
