target_id,target_name,disease_id,disease_name,edge_name
NCBIGene:2147,f2,MONDO:0013728,"pregnancy loss, recurrent, susceptibility to, 2",biolink:target_for
NCBIGene:1991,elane,MONDO:0008090,cyclic hematopoiesis,biolink:target_for
NCBIGene:1991,elane,MONDO:0042490,"neutropenia, severe congenital, 1, autosomal dominant",biolink:target_for
NCBIGene:5644,prss1,MONDO:0008185,hereditary chronic pancreatitis,biolink:target_for
NCBIGene:5340,plg,MONDO:0009009,hypoplasminogenemia,biolink:target_for
NCBIGene:5340,plg,MONDO:0025712,"angioedema, hereditary, 4",biolink:target_for
NCBIGene:5328,plau,MONDO:0011136,quebec platelet disorder,biolink:target_for
NCBIGene:91039,dpp9,MONDO:0957229,hatipoglu immunodeficiency syndrome,biolink:target_for
NCBIGene:847,cat,MONDO:0013571,acatalasia,biolink:target_for
NCBIGene:1889,ece1,MONDO:0013473,"hirschsprung disease, cardiac defects, and autonomic dysfunction",biolink:target_for
NCBIGene:4318,mmp9,MONDO:0044339,lumbar disk degenerative disorder,biolink:target_for
NCBIGene:4318,mmp9,MONDO:0013113,metaphyseal anadysplasia 2,biolink:target_for
NCBIGene:412,sts,MONDO:0010622,recessive x-linked ichthyosis,biolink:target_for
NCBIGene:23028,kdm1a,MONDO:0014751,palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome,biolink:target_for
NCBIGene:5468,pparg,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5468,pparg,MONDO:0011122,obesity disorder,biolink:target_for
NCBIGene:5468,pparg,MONDO:0020088,familial partial lipodystrophy,biolink:target_for
NCBIGene:5468,pparg,MONDO:0021042,glioma,biolink:target_for
NCBIGene:5781,ptpn11,MONDO:0100082,leopard syndrome 1,biolink:target_for
NCBIGene:5781,ptpn11,MONDO:0008104,noonan syndrome 1,biolink:target_for
NCBIGene:5781,ptpn11,MONDO:0011908,juvenile myelomonocytic leukemia,biolink:target_for
NCBIGene:5781,ptpn11,MONDO:0007979,metachondromatosis,biolink:target_for
NCBIGene:2160,f11,MONDO:0020587,factor xi deficiency,biolink:target_for
NCBIGene:2155,f7,MONDO:0002244,factor vii deficiency,biolink:target_for
NCBIGene:2159,f10,MONDO:0002247,factor x deficiency,biolink:target_for
NCBIGene:2161,f12,MONDO:0009315,congenital factor xii deficiency,biolink:target_for
NCBIGene:2161,f12,MONDO:0012526,hereditary angioedema type 3,biolink:target_for
NCBIGene:3818,klkb1,MONDO:0044744,prekallikrein deficiency,biolink:target_for
NCBIGene:5624,proc,MONDO:0008316,"thrombophilia due to protein c deficiency, autosomal dominant",biolink:target_for
NCBIGene:5624,proc,MONDO:0012860,"thrombophilia due to protein c deficiency, autosomal recessive",biolink:target_for
NCBIGene:5327,plat,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:9020,map3k14,MONDO:0957535,immunodeficiency 112,biolink:target_for
NCBIGene:9212,aurkb,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:4916,ntrk3,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:120892,lrrk2,UMLS:C3501658,parkinson disease 8,biolink:target_for
NCBIGene:3716,jak1,MONDO:0033558,"autoinflammation, immune dysregulation, and eosinophilia",biolink:target_for
NCBIGene:3718,jak3,MONDO:0010938,t-b+ severe combined immunodeficiency due to jak3 deficiency,biolink:target_for
NCBIGene:4313,mmp2,MONDO:0009809,"multicentric osteolysis, nodulosis, and arthropathy",biolink:target_for
NCBIGene:1723,dhodh,MONDO:0009903,postaxial acrofacial dysostosis,biolink:target_for
NCBIGene:1268,cnr1,MONDO:0011122,obesity disorder,biolink:target_for
NCBIGene:1268,cnr1,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:1585,cyp11b2,MONDO:0008751,corticosterone methyloxidase type 1 deficiency,biolink:target_for
NCBIGene:1585,cyp11b2,MONDO:0008751,corticosterone methyloxidase type 1 deficiency,biolink:target_for
NCBIGene:1584,cyp11b1,MONDO:0018479,congenital adrenal hyperplasia,biolink:target_for
NCBIGene:1584,cyp11b1,MONDO:0016525,familial hyperaldosteronism,biolink:target_for
NCBIGene:2034,epas1,MONDO:0012729,"erythrocytosis, familial, 4",biolink:target_for
NCBIGene:340061,sting1,MONDO:0014405,sting-associated vasculopathy with onset in infancy,biolink:target_for
NCBIGene:23476,brd4,MONDO:0957921,cornelia de lange syndrome 6,biolink:target_for
NCBIGene:23476,brd4,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:51185,crbn,MONDO:0011828,"intellectual disability, autosomal recessive 2",biolink:target_for
NCBIGene:1453,csnk1d,MONDO:0014088,advanced sleep phase syndrome 2,biolink:target_for
NCBIGene:2146,ezh2,MONDO:0010193,weaver syndrome,biolink:target_for
NCBIGene:6097,rorc,MONDO:0014710,autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete rorgamma receptor deficiency,biolink:target_for
NCBIGene:6095,rora,MONDO:0060745,intellectual developmental disorder with or without epilepsy or cerebellar ataxia,biolink:target_for
UniProtKB:Q92753,rorb_human nuclear receptor ror-beta (sprot),MONDO:0005579,"epilepsy, idiopathic generalized",biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0014083,"agammaglobulinemia 7, autosomal recessive",biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0010026,short syndrome,biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0014453,immunodeficiency 36,biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0014083,"agammaglobulinemia 7, autosomal recessive",biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0010026,short syndrome,biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0014453,immunodeficiency 36,biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0014083,"agammaglobulinemia 7, autosomal recessive",biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0010026,short syndrome,biolink:target_for
NCBIGene:5295,pik3r1,MONDO:0014453,immunodeficiency 36,biolink:target_for
NCBIGene:5294,pik3cg,MONDO:0030717,immunodeficiency 97 with autoinflammation,biolink:target_for
NCBIGene:5663,psen1,MONDO:0011913,alzheimer disease 3,biolink:target_for
NCBIGene:5663,psen1,MONDO:0017276,frontotemporal dementia,biolink:target_for
NCBIGene:5663,psen1,MONDO:0013371,dilated cardiomyopathy 1u,biolink:target_for
NCBIGene:5663,psen1,MONDO:0013398,"acne inversa, familial, 3",biolink:target_for
NCBIGene:5663,psen1,MONDO:0008243,pick disease,biolink:target_for
NCBIGene:4851,notch1,MONDO:0024523,aortic valve disease 1,biolink:target_for
NCBIGene:4851,notch1,MONDO:0014459,adams-oliver syndrome 5,biolink:target_for
NCBIGene:604,bcl6,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:1373,cps1,MONDO:0009376,carbamoyl phosphate synthetase i deficiency disease,biolink:target_for
NCBIGene:1373,cps1,MONDO:0100159,"pulmonary hypertension, neonatal",biolink:target_for
NCBIGene:2033,ep300,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:2033,ep300,MONDO:0013364,rubinstein-taybi syndrome due to ep300 haploinsufficiency,biolink:target_for
NCBIGene:2033,ep300,MONDO:0020769,menke-hennekam syndrome 2,biolink:target_for
NCBIGene:1387,crebbp,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:1387,crebbp,MONDO:0008393,rubinstein-taybi syndrome due to crebbp mutations,biolink:target_for
NCBIGene:1387,crebbp,MONDO:0020763,menke-hennekam syndrome 1,biolink:target_for
NCBIGene:57007,ackr3,MONDO:0030976,oculomotor-abducens synkinesis,biolink:target_for
NCBIGene:7852,cxcr4,MONDO:8000006,whim syndrome 1,biolink:target_for
NCBIGene:7852,cxcr4,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5147,pde6d,MONDO:0014297,joubert syndrome 22,biolink:target_for
NCBIGene:25,abl1,MONDO:0011996,"chronic myelogenous leukemia, bcr-abl1 positive",biolink:target_for
NCBIGene:25,abl1,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:25,abl1,MONDO:0060532,congenital heart defects and skeletal malformations syndrome,biolink:target_for
NCBIGene:4067,lyn,MONDO:0957271,"autoinflammatory disease, systemic, with vasculitis",biolink:target_for
NCBIGene:4067,lyn,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:6714,src,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:6714,src,MONDO:0014837,thrombocytopenia 6,biolink:target_for
NCBIGene:3791,kdr,MONDO:0011191,capillary infantile hemangioma,biolink:target_for
NCBIGene:3791,kdr,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:9759,hdac4,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:9759,hdac4,MONDO:0859232,neurodevelopmental disorder with central hypotonia and dysmorphic facies,biolink:target_for
NCBIGene:83933,hdac10,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:9734,hdac9,MONDO:0957543,auriculocondylar syndrome 4,biolink:target_for
NCBIGene:9734,hdac9,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:3350,htr1a,MONDO:0044660,menstrual cycle-dependent periodic fever,biolink:target_for
NCBIGene:1131,chrm3,MONDO:0007032,prune belly syndrome,biolink:target_for
NCBIGene:331,xiap,MONDO:0010385,x-linked lymphoproliferative disease due to xiap deficiency,biolink:target_for
NCBIGene:4193,mdm2,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:4193,mdm2,MONDO:0032868,lessel-kubisch syndrome,biolink:target_for
NCBIGene:7428,vhl,MONDO:0008233,pheochromocytoma,biolink:target_for
NCBIGene:7428,vhl,MONDO:0008667,von hippel-lindau disease,biolink:target_for
NCBIGene:7428,vhl,MONDO:0009892,chuvash polycythemia,biolink:target_for
NCBIGene:7428,vhl,MONDO:0005086,renal cell carcinoma,biolink:target_for
NCBIGene:5138,pde2a,MONDO:0030900,intellectual developmental disorder with paroxysmal dyskinesia or seizures,biolink:target_for
NCBIGene:5146,pde6c,MONDO:0013129,cone dystrophy 4,biolink:target_for
NCBIGene:5146,pde6c,MONDO:0800196,achromatopsia 5,biolink:target_for
NCBIGene:10846,pde10a,MONDO:0044637,infantile-onset generalized dyskinesia with orofacial involvement,biolink:target_for
NCBIGene:10846,pde10a,MONDO:0014835,"striatal degeneration, autosomal dominant 2",biolink:target_for
NCBIGene:2911,grm1,MONDO:0013905,autosomal recessive spinocerebellar ataxia 13,biolink:target_for
NCBIGene:2911,grm1,MONDO:0033479,spinocerebellar ataxia 44,biolink:target_for
NCBIGene:2917,grm7,MONDO:0030063,"neurodevelopmental disorder with seizures, hypotonia, and brain imaging abnormalities",biolink:target_for
NCBIGene:2916,grm6,MONDO:0016293,congenital stationary night blindness,biolink:target_for
NCBIGene:760,ca2,MONDO:0009818,autosomal recessive osteopetrosis 3,biolink:target_for
NCBIGene:763,ca5a,MONDO:0014332,hyperammonemic encephalopathy due to carbonic anhydrase va deficiency,biolink:target_for
NCBIGene:1024,cdk8,MONDO:0032897,intellectual developmental disorder with hypotonia and behavioral abnormalities,biolink:target_for
NCBIGene:6999,tdo2,HP:0500134,hypertryptophanemia,biolink:target_for
NCBIGene:8989,trpa1,MONDO:0014021,familial episodic pain syndrome with predominantly upper body involvement,biolink:target_for
NCBIGene:7297,tyk2,MONDO:0012682,immunodeficiency 35,biolink:target_for
NCBIGene:3717,jak2,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:3717,jak2,MONDO:0010947,budd-chiari syndrome,biolink:target_for
NCBIGene:3717,jak2,MONDO:0009891,acquired polycythemia vera,biolink:target_for
NCBIGene:3717,jak2,MONDO:0013794,thrombocythemia 3,biolink:target_for
NCBIGene:3717,jak2,MONDO:0044903,myelofibrosis,biolink:target_for
NCBIGene:3717,jak2,MONDO:0018874,acute myeloid leukemia,biolink:target_for
NCBIGene:7297,tyk2,MONDO:0012682,immunodeficiency 35,biolink:target_for
NCBIGene:3845,kras,MONDO:0018874,acute myeloid leukemia,biolink:target_for
NCBIGene:3845,kras,MONDO:0011908,juvenile myelomonocytic leukemia,biolink:target_for
NCBIGene:3845,kras,MONDO:0012371,noonan syndrome 3,biolink:target_for
NCBIGene:3845,kras,MONDO:0001056,gastric cancer,biolink:target_for
NCBIGene:3845,kras,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:3845,kras,MONDO:0014112,cardiofaciocutaneous syndrome 2,biolink:target_for
NCBIGene:3845,kras,MONDO:0010854,toriello-lacassie-droste syndrome,biolink:target_for
NCBIGene:3845,kras,MONDO:0008097,linear nevus sebaceous syndrome,biolink:target_for
NCBIGene:5293,pik3cd,MONDO:0008312,autosomal dominant prognathism,biolink:target_for
NCBIGene:5293,pik3cd,MONDO:0023655,"immunodeficiency 14b, autosomal recessive",biolink:target_for
NCBIGene:5293,pik3cd,MONDO:0013226,combined immunodeficiency with faciooculoskeletal anomalies,biolink:target_for
NCBIGene:771,ca12,MONDO:0007747,isolated hyperchlorhidrosis,biolink:target_for
NCBIGene:5745,pth1r,MONDO:0007982,"metaphyseal chondrodysplasia, jansen type",biolink:target_for
NCBIGene:5745,pth1r,MONDO:0008970,chondrodysplasia blomstrand type,biolink:target_for
NCBIGene:5745,pth1r,MONDO:0010803,eiken syndrome,biolink:target_for
NCBIGene:5745,pth1r,MONDO:0007434,primary failure of tooth eruption,biolink:target_for
NCBIGene:28234,slco1b3,MONDO:0009379,rotor syndrome,biolink:target_for
NCBIGene:10599,slco1b1,MONDO:0009379,rotor syndrome,biolink:target_for
NCBIGene:6868,adam17,MONDO:0013693,"inflammatory skin and bowel disease, neonatal, 1",biolink:target_for
NCBIGene:1675,cfd,MONDO:0013487,recurrent neisseria infections due to factor d deficiency,biolink:target_for
NCBIGene:2158,f9,MONDO:0010604,hemophilia b,biolink:target_for
NCBIGene:2158,f9,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:2158,f9,MONDO:0010432,"thrombophilia, x-linked, due to factor 9 defect",biolink:target_for
NCBIGene:2158,f9,OMIM:301052,"warfarin sensitivity, x-linked",biolink:target_for
NCBIGene:5144,pde4d,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5144,pde4d,MONDO:0013822,acrodysostosis 2 with or without hormone resistance,biolink:target_for
NCBIGene:6571,slc18a2,MONDO:0018130,brain dopamine-serotonin vesicular transport disease,biolink:target_for
NCBIGene:8647,abcb11,MONDO:0011156,progressive familial intrahepatic cholestasis type 2,biolink:target_for
NCBIGene:8647,abcb11,MONDO:0011559,benign recurrent intrahepatic cholestasis type 2,biolink:target_for
NCBIGene:471,atic,MONDO:0012099,aica-ribosiduria,biolink:target_for
NCBIGene:1719,dhfr,MONDO:0013456,constitutional megaloblastic anemia with severe neurologic disease,biolink:target_for
NCBIGene:29126,cd274,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:6654,sos1,MONDO:0007609,"fibromatosis, gingival, 1",biolink:target_for
NCBIGene:6654,sos1,MONDO:0012547,noonan syndrome 4,biolink:target_for
NCBIGene:5290,pik3ca,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0005575,colorectal cancer,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0007254,breast cancer,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0008170,ovarian cancer,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0007256,hepatocellular carcinoma,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0008420,seborrheic keratosis,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0011240,megalencephaly-capillary malformation-polymicrogyria syndrome,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0013038,cloves syndrome,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0014047,cowden syndrome 5,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0013125,clapo syndrome,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0007962,megalodactyly,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0859192,cerebral cavernous malformation 4,biolink:target_for
NCBIGene:5290,pik3ca,MONDO:0011723,hemifacial myohyperplasia,biolink:target_for
NCBIGene:54583,egln1,MONDO:0012353,"erythrocytosis, familial, 3",biolink:target_for
NCBIGene:4846,nos3,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5298,pi4kb,MONDO:0859525,"hearing loss, autosomal dominant 87",biolink:target_for
NCBIGene:51311,tlr8,MONDO:0024777,"immunodeficiency 98 with autoinflammation, x-linked",biolink:target_for
NCBIGene:51284,tlr7,MONDO:0026767,"immunodeficiency 74, covid-19-related, x-linked",biolink:target_for
NCBIGene:51284,tlr7,MONDO:0859083,systemic lupus erythematosus 17,biolink:target_for
NCBIGene:3554,il1r1,MONDO:0958177,chronic recurrent multifocal osteomyelitis 3,biolink:target_for
NCBIGene:7100,tlr5,MONDO:0007915,systemic lupus erythematosus,biolink:target_for
NCBIGene:150,adra2a,MONDO:0020088,familial partial lipodystrophy,biolink:target_for
NCBIGene:10280,sigmar1,MONDO:0013715,amyotrophic lateral sclerosis type 16,biolink:target_for
NCBIGene:10280,sigmar1,MONDO:0011771,"neuronopathy, distal hereditary motor, autosomal recessive 3",biolink:target_for
NCBIGene:1816,drd5,MONDO:0011728,benign essential blepharospasm,biolink:target_for
NCBIGene:1814,drd3,MONDO:0008590,"tremor, hereditary essential, 1",biolink:target_for
NCBIGene:1814,drd3,MONDO:0005090,schizophrenia,biolink:target_for
NCBIGene:151,adra2b,MONDO:0011930,"epilepsy, familial adult myoclonic, 2",biolink:target_for
NCBIGene:2322,flt3,MONDO:0018874,acute myeloid leukemia,biolink:target_for
NCBIGene:1436,csf1r,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:1436,csf1r,MONDO:0800027,"leukoencephalopathy, diffuse hereditary, with spheroids 1",biolink:target_for
NCBIGene:1436,csf1r,MONDO:0032772,"brain abnormalities, neurodegeneration, and dysosteosclerosis",biolink:target_for
NCBIGene:3815,kit,MONDO:0008244,piebaldism,biolink:target_for
NCBIGene:3815,kit,MONDO:0011719,gastrointestinal stromal tumor,biolink:target_for
NCBIGene:3815,kit,MONDO:0010108,testicular germ cell tumor,biolink:target_for
NCBIGene:3815,kit,MONDO:0018874,acute myeloid leukemia,biolink:target_for
NCBIGene:3815,kit,MONDO:0019023,cutaneous mastocytosis,biolink:target_for
NCBIGene:3815,kit,MONDO:0016586,systemic mastocytosis,biolink:target_for
NCBIGene:5156,pdgfra,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5156,pdgfra,MONDO:0011719,gastrointestinal stromal tumor,biolink:target_for
NCBIGene:5156,pdgfra,MONDO:0008285,"polyps, multiple and recurrent inflammatory fibroid, gastrointestinal",biolink:target_for
NCBIGene:5159,pdgfrb,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0007546,"myeloproliferative disorder, chronic, with eosinophilia",biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0018874,acute myeloid leukemia,biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0011908,juvenile myelomonocytic leukemia,biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0014004,"basal ganglia calcification, idiopathic, 4",biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0009227,"myofibromatosis, infantile, 1",biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0014704,skeletal overgrowth-craniofacial dysmorphism-hyperelastic skin-white matter lesions syndrome,biolink:target_for
NCBIGene:5159,pdgfrb,MONDO:0011150,acroosteolysis-keloid-like lesions-premature aging syndrome,biolink:target_for
NCBIGene:5979,ret,UMLS:C2931876,hirschsprung disease 1,biolink:target_for
NCBIGene:5979,ret,MONDO:0015277,medullary thyroid gland carcinoma,biolink:target_for
NCBIGene:5979,ret,DOID:10016,multiple endocrine neoplasia type 2b,biolink:target_for
NCBIGene:5979,ret,MONDO:0008233,pheochromocytoma,biolink:target_for
NCBIGene:5979,ret,DOID:0050430,multiple endocrine neoplasia type 2a,biolink:target_for
NCBIGene:5979,ret,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:695,btk,MONDO:0010421,bruton-type agammaglobulinemia,biolink:target_for
NCBIGene:695,btk,MONDO:0000050,isolated congenital growth hormone deficiency,biolink:target_for
NCBIGene:1859,dyrk1a,MONDO:0013578,dyrk1a-related intellectual disability syndrome,biolink:target_for
NCBIGene:367,ar,UMLS:C5547981,mild androgen insensitivity syndrome,biolink:target_for
NCBIGene:367,ar,MONDO:0010735,kennedy disease,biolink:target_for
NCBIGene:367,ar,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:367,ar,MONDO:0006710,complex partial epilepsy,biolink:target_for
NCBIGene:367,ar,MONDO:0010384,"hypospadias 1, x-linked",biolink:target_for
NCBIGene:1109,akr1c4,MONDO:0013664,"46,xy disorder of sex development due to testicular 17,20-desmolase deficiency",biolink:target_for
NCBIGene:1646,akr1c2,MONDO:0013664,"46,xy disorder of sex development due to testicular 17,20-desmolase deficiency",biolink:target_for
NCBIGene:255738,pcsk9,MONDO:0005439,familial hypercholesterolemia,biolink:target_for
NCBIGene:7098,tlr3,MONDO:0800187,"immunodeficiency 83, susceptibility to viral infections",biolink:target_for
NCBIGene:6197,rps6ka3,MONDO:0010561,coffin-lowry syndrome,biolink:target_for
NCBIGene:6197,rps6ka3,MONDO:0010447,"intellectual disability, x-linked 19",biolink:target_for
NCBIGene:6523,slc5a1,MONDO:0011731,glucose-galactose malabsorption,biolink:target_for
NCBIGene:6524,slc5a2,MONDO:0009297,familial renal glucosuria,biolink:target_for
NCBIGene:2321,flt1,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0007043,pfeiffer syndrome,biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0007844,hypogonadotropic hypogonadism 2 with or without anosmia,biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0007251,campomelic dysplasia,biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0014196,hartsfield-bixler-demyer syndrome,biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0008603,trigonocephaly 1,biolink:target_for
NCBIGene:2260,fgfr1,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0013074,encephalocraniocutaneous lipomatosis,biolink:target_for
NCBIGene:2260,fgfr1,MONDO:0007400,jackson-weiss syndrome,biolink:target_for
NCBIGene:1019,cdk4,MONDO:0005012,cutaneous melanoma,biolink:target_for
NCBIGene:1111,chek1,MONDO:0957961,oocyte/zygote/embryo maturation arrest 21,biolink:target_for
NCBIGene:673,braf,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
NCBIGene:673,braf,MONDO:0005575,colorectal cancer,biolink:target_for
NCBIGene:673,braf,MONDO:0008903,lung cancer,biolink:target_for
NCBIGene:673,braf,MONDO:0011508,"lymphoma, non-hodgkin, familial",biolink:target_for
NCBIGene:673,braf,MONDO:0007265,cardiofaciocutaneous syndrome 1,biolink:target_for
NCBIGene:673,braf,MONDO:0013379,noonan syndrome 7,biolink:target_for
NCBIGene:673,braf,MONDO:0013380,leopard syndrome 3,biolink:target_for
NCBIGene:2475,mtor,MONDO:0014716,macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,biolink:target_for
NCBIGene:2475,mtor,MONDO:0011818,isolated focal cortical dysplasia type ii,biolink:target_for
NCBIGene:54658,ugt1a1,MONDO:0007745,gilbert syndrome,biolink:target_for
NCBIGene:54658,ugt1a1,MONDO:0009383,transient familial neonatal hyperbilirubinemia,biolink:target_for
NCBIGene:54658,ugt1a1,MONDO:0009044,crigler-najjar syndrome,biolink:target_for
NCBIGene:54658,ugt1a1,MONDO:0009044,crigler-najjar syndrome,biolink:target_for
NCBIGene:5422,pola1,MONDO:0010523,x-linked reticulate pigmentary disorder,biolink:target_for
NCBIGene:5422,pola1,MONDO:0015601,"x-linked intellectual disability, van esch type",biolink:target_for
NCBIGene:8911,cacna1i,MONDO:0859313,neurodevelopmental disorder with speech impairment and with or without seizures,biolink:target_for
NCBIGene:8912,cacna1h,MONDO:0005579,"epilepsy, idiopathic generalized",biolink:target_for
NCBIGene:8912,cacna1h,MONDO:0010826,childhood absence epilepsy,biolink:target_for
NCBIGene:8912,cacna1h,MONDO:0016525,familial hyperaldosteronism,biolink:target_for
NCBIGene:8913,cacna1g,MONDO:0014776,spinocerebellar ataxia type 42,biolink:target_for
NCBIGene:8913,cacna1g,MONDO:0060758,"spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits",biolink:target_for
NCBIGene:1508,ctsb,MONDO:0007854,keratolytic winter erythema,biolink:target_for
NCBIGene:55775,tdp1,MONDO:0011801,"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1",biolink:target_for
NCBIGene:28960,dcps,MONDO:0014648,al-raqad syndrome,biolink:target_for
NCBIGene:4233,met,UMLS:C0027667,"neoplasms, unknown primary",biolink:target_for
