drug_id,drug_name,disease_id,disease_name,edge_name
CHEBI:22652,Ascorbic acid,HP:0000225,Gingival bleeding,biolink:treats
CHEBI:29034,Ferric cation,HP:0000225,Gingival bleeding,biolink:treats
CHEBI:32107,ROXATIDINE ACETATE HYDROCHLORIDE,HP:0000225,Gingival bleeding,biolink:treats
CHEBI:49470,Aluminum cation,HP:0000225,Gingival bleeding,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000225,Gingival bleeding,biolink:treats
CHEBI:7596,Nitroprusside,HP:0000225,Gingival bleeding,biolink:treats
CHEMBL.COMPOUND:CHEMBL2108334,Coagulation factor VIIa Recombinant Human,HP:0000225,Gingival bleeding,biolink:treats
DRUGBANK:DB09222,Fibrinogen human,HP:0000225,Gingival bleeding,biolink:treats
UNII:5PKM8P0G5I,Vonicog alfa,HP:0000225,Gingival bleeding,biolink:treats
UNII:97RWB5S1U6,Idarucizumab,HP:0000225,Gingival bleeding,biolink:treats
UNII:A57KX1VL5P,Albutrepenonacog alfa,HP:0000225,Gingival bleeding,biolink:treats
UNII:BI009E452R,Andexanet alfa,HP:0000225,Gingival bleeding,biolink:treats
CHEBI:28918,Epinephrine,HP:0000255,Acute sinusitis,biolink:treats
CHEBI:29688,Telithromycin,HP:0000255,Acute sinusitis,biolink:treats
CHEBI:3506,Cefprozil,HP:0000255,Acute sinusitis,biolink:treats
CHEBI:59936,ciprofloxacin hydrochloride hydrate,HP:0000255,Acute sinusitis,biolink:treats
CHEBI:63598,Levofloxacin,HP:0000255,Acute sinusitis,biolink:treats
CHEBI:9763,Trovafloxacin,HP:0000255,Acute sinusitis,biolink:treats
UNII:4W0459ZA4V,cefprozil,HP:0000255,Acute sinusitis,biolink:treats
CHEBI:8485,Proparacaine,HP:0000270,Delayed cranial suture closure,biolink:treats
CHEBI:2676,Amoxicillin,HP:0000366,Abnormality of the nose,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0000366,Abnormality of the nose,biolink:treats
CHEBI:102484,Sulfisoxazole,HP:0000371,Acute otitis media,biolink:treats
CHEBI:116735,Benzocaine,HP:0000371,Acute otitis media,biolink:treats
CHEBI:194135,Ofloxacin,HP:0000371,Acute otitis media,biolink:treats
CHEBI:2676,Amoxicillin,HP:0000371,Acute otitis media,biolink:treats
CHEBI:2955,Azithromycin,HP:0000371,Acute otitis media,biolink:treats
CHEBI:30742,Polyethylene glycol,HP:0000371,Acute otitis media,biolink:treats
CHEBI:3504,Cefpodoxime,HP:0000371,Acute otitis media,biolink:treats
CHEBI:3514,Ceftriaxone disodium salt hemiheptahydrate,HP:0000371,Acute otitis media,biolink:treats
CHEBI:3732,Clarithromycin,HP:0000371,Acute otitis media,biolink:treats
CHEBI:3770,CO-TRIMOXAZOLE,HP:0000371,Acute otitis media,biolink:treats
CHEBI:59936,ciprofloxacin hydrochloride hydrate,HP:0000371,Acute otitis media,biolink:treats
CHEBI:63598,Levofloxacin,HP:0000371,Acute otitis media,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000371,Acute otitis media,biolink:treats
CHEBI:8389,Conjugated estrogens,HP:0000371,Acute otitis media,biolink:treats
CHEBI:9328,Sulfadiazine,HP:0000371,Acute otitis media,biolink:treats
RXCUI:404930,Ciprodex,HP:0000371,Acute otitis media,biolink:treats
UNII:4W0459ZA4V,cefprozil,HP:0000371,Acute otitis media,biolink:treats
UNII:C9R35M8XV6,HAEMOPHILUS INFLUENZAE TYPE B STRAIN 20752 CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN,HP:0000371,Acute otitis media,biolink:treats
CHEBI:15366,Acetic acid,HP:0000413,Atresia of the external auditory canal,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0000413,Atresia of the external auditory canal,biolink:treats
RXCUI:216244,Cortisporin-TC,HP:0000413,Atresia of the external auditory canal,biolink:treats
RXCUI:374806,bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment,HP:0000413,Atresia of the external auditory canal,biolink:treats
CHEBI:2676,Amoxicillin,HP:0000421,Epistaxis,biolink:treats
CHEBI:32130,Silver nitrate,HP:0000421,Epistaxis,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000421,Epistaxis,biolink:treats
CHEBI:8382,Prednisone,HP:0000421,Epistaxis,biolink:treats
CHEBI:9907,Ursodeoxycholic acid,HP:0000482,Microcornea,biolink:treats
UNII:9XZ8H6N6OH,Hydroxypropyl cellulose,HP:0000495,Recurrent corneal erosions,biolink:treats
CHEBI:31824,MESNA,HP:0000505,Visual impairment,biolink:treats
CHEBI:4508,DICLOFENAC POTASSIUM,HP:0000613,Photophobia,biolink:treats
CHEBI:16684,Atropine,HP:0000616,Miosis,biolink:treats
CHEBI:3738,Clemastine,HP:0000633,Decreased lacrimation,biolink:treats
CHEBI:3647,Chlorpromazine,HP:0000708,Atypical behavior,biolink:treats
CHEBI:5613,Haloperidol,HP:0000708,Atypical behavior,biolink:treats
CHEBI:3647,Chlorpromazine,HP:0000711,Restlessness,biolink:treats
CHEBI:3647,Chlorpromazine,HP:0000712,Emotional lability,biolink:treats
CHEBI:5613,Haloperidol,HP:0000712,Emotional lability,biolink:treats
CHEBI:6809,Metamfetamine,HP:0000712,Emotional lability,biolink:treats
CHEBI:10119,Ziprasidone,HP:0000713,Agitation,biolink:treats
CHEBI:2675,Amoxapine,HP:0000713,Agitation,biolink:treats
CHEBI:4466,Dexmedetomidine,HP:0000713,Agitation,biolink:treats
CHEBI:49575,Diazepam,HP:0000713,Agitation,biolink:treats
CHEBI:5818,Hydroxyzine,HP:0000713,Agitation,biolink:treats
CHEBI:7735,Olanzapine,HP:0000713,Agitation,biolink:treats
CHEBI:7823,Oxazepam,HP:0000713,Agitation,biolink:treats
RXCUI:1152268,amitriptyline / chlordiazepoxide Pill,HP:0000713,Agitation,biolink:treats
RXCUI:1152272,amitriptyline / perphenazine Pill,HP:0000713,Agitation,biolink:treats
CHEBI:5613,Haloperidol,HP:0000718,Aggressive behavior,biolink:treats
CHEBI:8378,Prednisolone,HP:0000718,Aggressive behavior,biolink:treats
CHEBI:6809,Metamfetamine,HP:0000736,Short attention span,biolink:treats
CHEBI:7823,Oxazepam,HP:0000737,Irritability,biolink:treats
CHEBI:3647,Chlorpromazine,HP:0000752,Hyperactivity,biolink:treats
CHEBI:5613,Haloperidol,HP:0000752,Hyperactivity,biolink:treats
CHEBI:6809,Metamfetamine,HP:0000752,Hyperactivity,biolink:treats
CHEBI:5812,Hydroxyprogesterone caproate,HP:0000786,Primary amenorrhea,biolink:treats
CHEBI:27436,Methyltestosterone,HP:0000823,Delayed puberty,biolink:treats
CHEBI:9463,Testosterone cypionate,HP:0000823,Delayed puberty,biolink:treats
CHEBI:35940,Protirelin,HP:0000832,Primary hypothyroidism,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000832,Primary hypothyroidism,biolink:treats
CHEBI:6484,LIOTHYRONINE SODIUM,HP:0000832,Primary hypothyroidism,biolink:treats
DRUGBANK:DB09100,"Thyroid, porcine",HP:0000832,Primary hypothyroidism,biolink:treats
MESH:D013962,Thyroid (USP),HP:0000832,Primary hypothyroidism,biolink:treats
CHEBI:6801,Metformin,HP:0000855,Insulin resistance,biolink:treats
DRUGBANK:DB00030,Insulin human,HP:0000855,Insulin resistance,biolink:treats
CHEBI:16469,Estradiol,HP:0000858,Irregular menstruation,biolink:treats
CHEBI:3515,Cefuroxime,HP:0000868,Decreased fertility in females,biolink:treats
CHEBI:17026,Progesterone,HP:0000869,Secondary amenorrhea,biolink:treats
CHEBI:3752,Clomifene,HP:0000869,Secondary amenorrhea,biolink:treats
CHEBI:6715,medroxyprogesterone,HP:0000869,Secondary amenorrhea,biolink:treats
CHEBI:7627,Norethisterone,HP:0000869,Secondary amenorrhea,biolink:treats
CHEBI:16199,Urea,HP:0000958,Dry skin,biolink:treats
CHEBI:3077,Betamethasone,HP:0000958,Dry skin,biolink:treats
CHEBI:422,L-Lactic acid,HP:0000958,Dry skin,biolink:treats
CHEBI:9180,SODIUM SALICYLATE,HP:0000958,Dry skin,biolink:treats
CHEBI:17833,Gentamicin,HP:0000964,Eczematoid dermatitis,biolink:treats
CHEBI:9180,SODIUM SALICYLATE,HP:0000964,Eczematoid dermatitis,biolink:treats
CHEBI:32107,ROXATIDINE ACETATE HYDROCHLORIDE,HP:0000969,Edema,biolink:treats
CHEBI:3640,Chlorothiazide,HP:0000969,Edema,biolink:treats
CHEBI:3654,Chlorthalidone,HP:0000969,Edema,biolink:treats
CHEBI:5778,Hydrochlorothiazide,HP:0000969,Edema,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0000969,Edema,biolink:treats
CHEBI:5893,Indapamide,HP:0000969,Edema,biolink:treats
CHEBI:6888,Methylprednisolone,HP:0000969,Edema,biolink:treats
CHEBI:8382,Prednisone,HP:0000969,Edema,biolink:treats
CHEBI:9241,Spironolactone,HP:0000969,Edema,biolink:treats
RXCUI:17276,Aldactazide,HP:0000969,Edema,biolink:treats
RXCUI:215703,Blephamide,HP:0000969,Edema,biolink:treats
RXCUI:23742,Dyazide,HP:0000969,Edema,biolink:treats
RXCUI:374806,bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment,HP:0000969,Edema,biolink:treats
CHEBI:144551,Oxybutynin,HP:0000975,Hyperhidrosis,biolink:treats
CHEBI:16684,Atropine,HP:0000975,Hyperhidrosis,biolink:treats
CHEBI:26710,Sodium chloride,HP:0000975,Hyperhidrosis,biolink:treats
CHEBI:29101,Sodium cation,HP:0000975,Hyperhidrosis,biolink:treats
CHEBI:8077,Phenoxybenzamine,HP:0000975,Hyperhidrosis,biolink:treats
DRUGBANK:DB00083,Botulinum toxin type A,HP:0000975,Hyperhidrosis,biolink:treats
PUBCHEM.COMPOUND:71680039,GLYCOPYRRONIUM TOSYLATE,HP:0000975,Hyperhidrosis,biolink:treats
RXCUI:2637040,glycopyrronium / neostigmine Prefilled Syringe,HP:0000975,Hyperhidrosis,biolink:treats
UNII:00Y6A5AJU6,sofpironium,HP:0000975,Hyperhidrosis,biolink:treats
UNII:7B2Y1932XU,SOFPIRONIUM BROMIDE,HP:0000975,Hyperhidrosis,biolink:treats
CHEBI:25187,Menthol,HP:0000978,Bruising susceptibility,biolink:treats
CHEBI:3374,Capsaicin,HP:0000978,Bruising susceptibility,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000978,Bruising susceptibility,biolink:treats
RXCUI:1164043,lidocaine / menthol / methyl salicylate Topical Product,HP:0000978,Bruising susceptibility,biolink:treats
RXCUI:835851,capsaicin / menthol / methyl salicylate Topical Ointment,HP:0000978,Bruising susceptibility,biolink:treats
CHEBI:135954,Bilastine,HP:0000989,Pruritus,biolink:treats
CHEBI:16469,Estradiol,HP:0000989,Pruritus,biolink:treats
CHEBI:291342,Desloratadine,HP:0000989,Pruritus,biolink:treats
CHEBI:31281,BEPOTASTINE BESYLATE,HP:0000989,Pruritus,biolink:treats
CHEBI:31414,Clobetasol propionate,HP:0000989,Pruritus,biolink:treats
CHEBI:31933,OLOPATADINE HYDROCHLORIDE,HP:0000989,Pruritus,biolink:treats
CHEBI:3738,Clemastine,HP:0000989,Pruritus,biolink:treats
CHEBI:4636,Diphenhydramine,HP:0000989,Pruritus,biolink:treats
CHEBI:5050,Fexofenadine,HP:0000989,Pruritus,biolink:treats
CHEBI:51037,EPINASTINE HYDROCHLORIDE,HP:0000989,Pruritus,biolink:treats
CHEBI:5134,Fluticasone,HP:0000989,Pruritus,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0000989,Pruritus,biolink:treats
CHEBI:5818,Hydroxyzine,HP:0000989,Pruritus,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0000989,Pruritus,biolink:treats
CHEBI:6456,Lidocaine,HP:0000989,Pruritus,biolink:treats
CHEBI:6888,Methylprednisolone,HP:0000989,Pruritus,biolink:treats
CHEBI:8378,Prednisolone,HP:0000989,Pruritus,biolink:treats
CHEBI:8382,Prednisone,HP:0000989,Pruritus,biolink:treats
PUBCHEM.COMPOUND:9551858,CETIRIZINE HYDROCHLORIDE,HP:0000989,Pruritus,biolink:treats
UNII:0P70AR5BYB,Difelikefalin Acetate,HP:0000989,Pruritus,biolink:treats
UNII:25CC4N0P8J,NALFURAFINE HYDROCHLORIDE,HP:0000989,Pruritus,biolink:treats
UNII:4B33BGI082,Cholestyramine,HP:0000989,Pruritus,biolink:treats
UNII:UYB6UOF69L,Maralixibat,HP:0000989,Pruritus,biolink:treats
UNII:W69HSF2416,Levocetirizine hydrochloride,HP:0000989,Pruritus,biolink:treats
UNII:XJ6OT32M93,Rupatadine fumarate,HP:0000989,Pruritus,biolink:treats
CHEBI:17594,Hydroquinone,HP:0001003,Multiple lentigines,biolink:treats
CHEBI:3077,Betamethasone,HP:0001003,Multiple lentigines,biolink:treats
CHEBI:32184,Tazarotene,HP:0001003,Multiple lentigines,biolink:treats
CHEBI:36560,Zinc oxide,HP:0001003,Multiple lentigines,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0001003,Multiple lentigines,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0001003,Multiple lentigines,biolink:treats
CHEBI:16469,Estradiol,HP:0001007,Hirsutism,biolink:treats
CHEBI:4762,EFLORNITHINE HYDROCHLORIDE,HP:0001007,Hirsutism,biolink:treats
CHEBI:50838,Drospirenone,HP:0001007,Hirsutism,biolink:treats
CHEBI:9241,Spironolactone,HP:0001007,Hirsutism,biolink:treats
CHEBI:31498,Dimethicone,HP:0001075,Atrophic scars,biolink:treats
CHEBI:17549,Aminolevulinic acid,HP:0001123,Visual field defect,biolink:treats
CHEBI:16347,Levocarnitine,HP:0001252,Hypotonia,biolink:treats
CHEBI:29105,Velmanase alfa,HP:0001252,Hypotonia,biolink:treats
CHEBI:187893,Baclofen,HP:0001257,Spasticity,biolink:treats
CHEBI:49575,Diazepam,HP:0001257,Spasticity,biolink:treats
CHEBI:55340,MORPHINE HYDROCHLORIDE,HP:0001257,Spasticity,biolink:treats
CHEBI:9609,TIZANIDINE HYDROCHLORIDE,HP:0001257,Spasticity,biolink:treats
DRUGBANK:DB00083,Botulinum toxin type A,HP:0001257,Spasticity,biolink:treats
DRUGBANK:DB15621,Influenza A virus A/South Australia/34/2019 IVR-197 (H3N2) antigen (formaldehyde inactivated),HP:0001257,Spasticity,biolink:treats
CHEBI:17824,Isopropyl alcohol,HP:0001258,Spastic paraplegia,biolink:treats
CHEBI:31602,FENTANYL CITRATE,HP:0001259,Coma,biolink:treats
CHEBI:3892,Corticotropin,HP:0001259,Coma,biolink:treats
CHEBI:5818,Hydroxyzine,HP:0001259,Coma,biolink:treats
CHEBI:6359,Lactulose,HP:0001259,Coma,biolink:treats
UNII:2S9ZZM9Q9V,Bevacizumab,HP:0001259,Coma,biolink:treats
CHEBI:134709,Pitolisant,HP:0001262,Excessive daytime somnolence,biolink:treats
CHEBI:29466,2 -(Butylamido)-4-hydroxybutanoic acid,HP:0001262,Excessive daytime somnolence,biolink:treats
CHEBI:30830,gamma-Hydroxybutyric acid,HP:0001262,Excessive daytime somnolence,biolink:treats
CHEBI:31859,Modafinil,HP:0001262,Excessive daytime somnolence,biolink:treats
CHEBI:7915,Pantoprazole,HP:0001262,Excessive daytime somnolence,biolink:treats
CHEBI:28918,Epinephrine,HP:0001279,Syncope,biolink:treats
CHEBI:18420,Magnesium cation,HP:0001281,Tetany,biolink:treats
CHEBI:16347,Levocarnitine,HP:0001324,Muscle weakness,biolink:treats
CHEBI:49575,Diazepam,HP:0001337,Tremor,biolink:treats
UNII:9X7O8V25IT,Collagenase clostridium histolyticum,HP:0001371,Flexion contracture,biolink:treats
CHEBI:4356,Deferoxamine,HP:0001395,Hepatic fibrosis,biolink:treats
CHEBI:17594,Hydroquinone,HP:0001480,Freckling,biolink:treats
CHEBI:3077,Betamethasone,HP:0001480,Freckling,biolink:treats
CHEBI:36560,Zinc oxide,HP:0001480,Freckling,biolink:treats
CHEBI:5781,HYDROCORTISONE SODIUM PHOSPHATE,HP:0001480,Freckling,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0001480,Freckling,biolink:treats
CHEBI:80343,Mecasermin,HP:0001510,Growth delay,biolink:treats
UNII:6D848RA61B,Somatrogon,HP:0001510,Growth delay,biolink:treats
UNII:8FOJ430U94,Somapacitan,HP:0001510,Growth delay,biolink:treats
UNII:NQX9KB6PCL,Somatotropin,HP:0001510,Growth delay,biolink:treats
CHEBI:8382,Prednisone,HP:0001541,Ascites,biolink:treats
CHEBI:9241,Spironolactone,HP:0001541,Ascites,biolink:treats
DRUGBANK:DB13968,Plasma protein fraction (human),HP:0001541,Ascites,biolink:treats
RXCUI:17276,Aldactazide,HP:0001541,Ascites,biolink:treats
CHEBI:2663,Amiodarone,HP:0001649,Tachycardia,biolink:treats
CHEBI:4856,Esmolol,HP:0001649,Tachycardia,biolink:treats
CHEBI:5091,FLECAINIDE ACETATE,HP:0001649,Tachycardia,biolink:treats
CHEBI:77733,Verapamil,HP:0001649,Tachycardia,biolink:treats
CHEBI:8077,Phenoxybenzamine,HP:0001649,Tachycardia,biolink:treats
CHEBI:8884,Rocuronium,HP:0001649,Tachycardia,biolink:treats
CHEBI:16684,Atropine,HP:0001662,Bradycardia,biolink:treats
CHEBI:90972,GLYCOPYRROLATE,HP:0001662,Bradycardia,biolink:treats
RXCUI:2637040,glycopyrronium / neostigmine Prefilled Syringe,HP:0001662,Bradycardia,biolink:treats
CHEBI:101278,Diltiazem,HP:0001681,Angina pectoris,biolink:treats
CHEBI:17824,Isopropyl alcohol,HP:0001681,Angina pectoris,biolink:treats
CHEBI:2668,Amlodipine,HP:0001681,Angina pectoris,biolink:treats
CHEBI:2691,isoamyl nitrite,HP:0001681,Angina pectoris,biolink:treats
CHEBI:28241,Papaverine,HP:0001681,Angina pectoris,biolink:treats
CHEBI:28787,Nitroglycerin,HP:0001681,Angina pectoris,biolink:treats
CHEBI:2904,Atenolol,HP:0001681,Angina pectoris,biolink:treats
CHEBI:2911,atorvastatin calcium trihydrate,HP:0001681,Angina pectoris,biolink:treats
CHEBI:6060,Isosorbide,HP:0001681,Angina pectoris,biolink:treats
CHEBI:6061,Isosorbide dinitrate,HP:0001681,Angina pectoris,biolink:treats
CHEBI:6904,Metoprolol,HP:0001681,Angina pectoris,biolink:treats
CHEBI:7444,Nadolol,HP:0001681,Angina pectoris,biolink:treats
CHEBI:77733,Verapamil,HP:0001681,Angina pectoris,biolink:treats
CHEBI:8499,Propranolol,HP:0001681,Angina pectoris,biolink:treats
CHEBI:85966,Ivabradine,HP:0001681,Angina pectoris,biolink:treats
RXCUI:1811627,aspirin / omeprazole Oral Product,HP:0001681,Angina pectoris,biolink:treats
CHEBI:8500,PROPRANOLOL HYDROCHLORIDE,HP:0001705,Right ventricular outlet tract obstruction,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0001712,Left ventricular hypertrophy,biolink:treats
CHEBI:6541,Losartan,HP:0001712,Left ventricular hypertrophy,biolink:treats
RXCUI:1162127,hydrochlorothiazide / losartan Pill,HP:0001712,Left ventricular hypertrophy,biolink:treats
CHEBI:4470,Dextromethorphan,HP:0001742,Nasal congestion,biolink:treats
CHEBI:5050,Fexofenadine,HP:0001742,Nasal congestion,biolink:treats
CHEBI:6446,levothyroxine sodium anhydrous,HP:0001742,Nasal congestion,biolink:treats
CHEBI:8461,Promethazine,HP:0001742,Nasal congestion,biolink:treats
RXCUI:376076,codeine / phenylephrine / promethazine Oral Solution,HP:0001742,Nasal congestion,biolink:treats
UNII:Q6U6J48BWY,Imiglucerase,HP:0001744,Splenomegaly,biolink:treats
CHEBI:30769,Citric acid,HP:0001892,Abnormal bleeding,biolink:treats
